SONY,,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Days
2019-05-30,48.549999,48.790001,48.299999,48.529999,48.529999,613100,320
2019-05-31,47.98,48.099998,47.709999,48,48,1085200,321
2019-06-03,48.009998,48.360001,47.700001,47.779999,47.779999,849600,322
2019-06-04,47.630001,48.169998,47.290001,48.130001,48.130001,1014100,323
2019-06-05,48.5,48.5,47.73,48.110001,48.110001,764200,324
2019-06-06,47.639999,47.759998,47.330002,47.450001,47.450001,1159900,325
2019-06-07,48.139999,49.099998,48.139999,48.860001,48.860001,1146300,326
2019-06-10,49.66,49.799999,49.169998,49.619999,49.619999,1711200,327
2019-06-11,49.880001,50.119999,49.669998,49.82,49.82,1064100,328
2019-06-12,49.169998,49.529999,49,49.380001,49.380001,1579900,329
2019-06-13,49.41,49.860001,49.389999,49.669998,49.669998,1198700,330
2019-06-14,50.540001,51.560001,50.43,51.330002,51.330002,3736100,331
2019-06-17,51.740002,52.669998,51.740002,52.099998,52.099998,2555100,332
2019-06-18,52.290001,52.57,52.099998,52.209999,52.209999,1695700,333
2019-06-19,52.93,53.169998,52.580002,52.98,52.98,2280400,334
2019-06-20,54.049999,54.119999,53.290001,53.939999,53.939999,1678700,335
2019-06-21,52.990002,53.650002,52.709999,53.240002,53.240002,2478300,336
2019-06-24,53.540001,53.73,53.119999,53.150002,53.150002,1530300,337
2019-06-25,52.560001,53.049999,52.509998,52.549999,52.549999,1868600,338
2019-06-26,52.66,52.849998,52.009998,52.459999,52.459999,1080600,339
2019-06-27,52.540001,52.779999,52.209999,52.700001,52.700001,1027600,340
2019-06-28,52.84,52.84,52.189999,52.389999,52.389999,886200,341
2019-07-01,53.560001,53.82,52.98,53.709999,53.709999,1843400,342
2019-07-02,53.27,53.700001,53.130001,53.68,53.68,1386900,343
2019-07-03,54.209999,54.810001,54.189999,54.720001,54.720001,784100,344
2019-07-05,54.389999,55.110001,54.380001,55.029999,55.029999,1468700,345
2019-07-08,54.900002,54.919998,54.66,54.66,54.66,1691000,346
2019-07-09,54.130001,54.509998,53.900002,54.380001,54.380001,1307200,347
2019-07-10,55.110001,55.200001,54.669998,54.779999,54.779999,833900,348
2019-07-11,54.990002,55.209999,54.889999,55.02,55.02,2797000,349
2019-07-12,55.68,55.990002,55.549999,55.77,55.77,770100,350
2019-07-15,56,56.049999,55.650002,55.77,55.77,917700,351
2019-07-16,54.169998,54.509998,53.689999,53.990002,53.990002,1461400,352
2019-07-17,54.779999,54.799999,54.169998,54.369999,54.369999,1025700,353
2019-07-18,53.650002,54.049999,53.41,53.950001,53.950001,790000,354
2019-07-19,54.310001,54.330002,53.650002,53.66,53.66,400700,355
2019-07-22,54.02,54.049999,53.68,53.799999,53.799999,965200,356
2019-07-23,54.279999,54.470001,54.029999,54.41,54.41,730200,357
2019-07-24,54.869999,55.209999,54.75,55.099998,55.099998,1115700,358
2019-07-25,54.5,54.759998,54.32,54.549999,54.549999,1381400,359
2019-07-26,54.799999,54.93,54.59,54.799999,54.799999,1631800,360
2019-07-29,54,54.84,54,54.700001,54.700001,3002000,361
2019-07-30,56.060001,57.41,56.02,57.099998,57.099998,3197400,362
2019-07-31,57,57.290001,56.279999,56.860001,56.860001,1443100,363
2019-08-01,56.450001,57.290001,55.66,55.849998,55.849998,2243600,364
2019-08-02,55.299999,55.450001,54.669998,54.98,54.98,1266100,365
2019-08-05,53.830002,53.830002,53.32,53.650002,53.650002,1873300,366
2019-08-06,54.779999,55,54.330002,55,55,1194800,367
2019-08-07,55.48,55.84,54.93,55.529999,55.529999,2389900,368
2019-08-08,55.41,56.34,55.299999,56.25,56.25,1499900,369
2019-08-09,56.48,56.59,55.709999,56.110001,56.110001,426200,370
2019-08-12,56,56.049999,55.419998,55.599998,55.599998,504800,371
2019-08-13,55.700001,56.639999,55.509998,56.259998,56.259998,1140800,372
2019-08-14,55.23,55.259998,54.139999,54.32,54.32,1272700,373
2019-08-15,54.700001,55.220001,54.580002,55.02,55.02,872800,374
2019-08-16,54.84,55.959999,54.84,55.73,55.73,1254700,375
2019-08-19,55.720001,55.98,55.610001,55.720001,55.720001,934800,376
2019-08-20,56,56.02,55.59,55.66,55.66,378100,377
2019-08-21,56.330002,57.07,56.200001,56.650002,56.650002,1052800,378
2019-08-22,55.169998,55.380001,54.389999,54.77,54.77,1583600,379
2019-08-23,54.799999,55.060001,53.66,53.84,53.84,1303600,380
2019-08-26,55.529999,55.990002,55.450001,55.52,55.52,1174600,381
2019-08-27,55.709999,55.98,55.310001,55.509998,55.509998,726300,382
